   index  lev     parent      ncell             peak_x             peak_y             peak_z               rho-               rho+             rho_av            mass_cl          relevance   MLADEN
    3133    0       3133          7    2.985774599E-01    8.007812540E-01    4.036465592E-01    8.534654507E+01    2.828291445E+02    1.501391721E+02    6.264294415E-05    3.535364306E+00   mladen
    3229    0       3229        340    8.159631745E-01    5.024414062E-01    6.831075029E-02    8.065229810E+01    2.195515484E+04    3.261673366E+02    6.752740493E-04    2.744394356E+02   mladen
    3230    0       3230        150    9.262688602E-01    7.905272590E-01    4.726562510E-01    8.145525309E+01    1.503540277E+04    4.325088115E+02    2.380578849E-04    1.879425346E+02   mladen
    3231    0       3231        126    6.608960709E-01    7.835943303E-01    2.148437698E-02    8.028516754E+01    3.964417412E+03    2.867383538E+02    4.336825448E-04    4.955521765E+01   mladen
    3232    0       3232        117    7.450919696E-01    6.826171875E-01    2.539062698E-02    8.204159575E+01    3.847044977E+03    2.901797601E+02    3.588932765E-04    4.808806221E+01   mladen
    3233    0       3233        100    6.865133003E-01    6.667068883E-01    4.765625020E-01    8.324198623E+01    3.844633840E+03    3.451906667E+02    3.111963769E-04    4.805792300E+01   mladen
    3235    0       3235        111    6.367187480E-01    7.764142398E-01    2.078381281E-02    8.266594304E+01    3.417764026E+03    3.176804521E+02    3.455679567E-04    4.272205032E+01   mladen
    3239    0       3239        109    9.620056962E-01    6.767578125E-01    3.710937302E-02    8.026949965E+01    2.723832694E+03    2.579477935E+02    3.843721651E-04    3.404790868E+01   mladen
    3255    0       3255         11    7.441406250E-01    7.014636415E-01    5.377480720E-02    9.242118845E+01    4.798992514E+02    2.415708601E+02    1.583861984E-04    5.998740643E+00   mladen
    3260    0       3260         14    8.417968750E-01    8.418134461E-01    1.311375950E-01    8.112531910E+01    3.893492593E+02    1.570248864E+02    1.310317761E-04    4.866865741E+00   mladen
    3261    0       3261         14    8.742018959E-01    5.097656250E-01    7.316885691E-02    8.045552996E+01    3.847101599E+02    1.975105096E+02    1.648156127E-04    4.808876999E+00   mladen
    3272    0       3272         11    6.816406250E-01    7.528402598E-01    3.329914041E-02    9.886351843E+01    3.067087843E+02    1.649911816E+02    1.081766485E-04    3.833859804E+00   mladen
    3277    0       3277         50    8.066406250E-01    8.773712739E-01    1.308889268E-01    8.292588025E+01    2.937554386E+02    1.371119042E+02    4.086253171E-04    3.671942983E+00   mladen
    3348    0       3348       1464    8.859873925E-01    9.589843745E-01    4.778122253E-01    8.002372575E+01    7.546192095E+04    4.321031308E+02    2.398718823E-03    2.176086676E+01   mladen
    3352    0       3352        399    5.258789062E-01    8.045121375E-01    8.219468177E-01    8.023137925E+01    1.732081666E+04    3.590836185E+02    8.357222776E-04    2.165102083E+02   mladen
    3354    0       3348          8    8.872070317E-01    9.596806286E-01    4.791573929E-01    1.955581448E+02    1.395392460E+04    1.138866635E+03    7.557146971E-06    4.023877079E+00   mladen
    3356    0       3356        349    7.515567683E-01    6.982421865E-01    8.804607752E-01    8.039287263E+01    1.004349230E+04    2.832045331E+02    5.960857913E-04    1.255436538E+02   mladen
    3366    0       5138          9    8.862304688E-01    9.995117188E-01    4.399414062E-01    1.379575162E+02    4.291487566E+03    3.685951421E+02    1.750732981E-05    3.613784491E+00   mladen
    3368    0       3368         67    9.205070281E-01    9.770344809E-01    4.246739725E-01    8.568259160E+01    4.116449307E+03    2.965079610E+02    2.253339590E-04    5.145561634E+01   mladen
    3369    0       3369        117    9.929497445E-01    7.958984375E-01    5.507812520E-01    8.323258443E+01    4.043978073E+03    3.598219075E+02    3.324293832E-04    5.054972591E+01   mladen
    3370    0       3370         94    8.427555749E-01    7.519531270E-01    7.324882079E-01    9.028154505E+01    3.636924903E+03    2.632324166E+02    3.216424311E-04    4.546156129E+01   mladen
    3371    0       3348         20    8.876953115E-01    9.585005961E-01    4.839025195E-01    8.748348103E+01    3.566220448E+03    2.719617567E+02    2.988752656E-05    3.110062931E+00   mladen
    3372    0       3372         61    6.416042966E-01    7.578124980E-01    7.023569779E-01    8.190790263E+01    3.503843614E+03    4.514984440E+02    2.522944160E-04    4.379804518E+01   mladen
    3375    0       3375         99    7.510710043E-01    6.669921875E-01    9.160156230E-01    8.120968439E+01    3.126611057E+03    3.486958948E+02    2.935725161E-04    3.908263821E+01   mladen
    3386    0       3386        105    8.804079593E-01    8.369140625E-01    9.589843730E-01    8.073384065E+01    2.667963039E+03    3.324263531E+02    2.600607803E-04    3.334953799E+01   mladen
    3387    0       3348         11    8.911254812E-01    9.646865496E-01    4.761433963E-01    1.065354907E+02    2.664036180E+03    4.316568117E+02    1.005029333E-05    4.431711079E+00   mladen
    3392    0       5138         13    8.857421885E-01    9.985350904E-01    4.467773056E-01    1.181557189E+02    2.551288180E+03    2.554281404E+02    2.140973940E-05    8.959665367E+00   mladen
    3395    0       3395         77    9.270816623E-01    8.173828125E-01    6.582031230E-01    8.518131573E+01    2.510007930E+03    2.199468167E+02    2.064801671E-04    3.137509912E+01   mladen
    3397    0       3348          7    8.916015615E-01    9.614257870E-01    4.838909272E-01    9.416321921E+01    2.476449181E+03    3.060937253E+02    7.982015898E-06    6.904341706E+00   mladen
    3399    0       3348         79    8.925781240E-01    9.643556751E-01    4.731501973E-01    8.397165273E+01    2.299609625E+03    2.885491284E+02    1.811255818E-04    4.392628661E+00   mladen
    3405    0       3405         76    5.850073357E-01    8.252955803E-01    8.105468730E-01    8.083484668E+01    2.195256483E+03    3.221980452E+02    2.160506254E-04    2.744070604E+01   mladen
    3406    0       3348          7    8.842198581E-01    9.642549437E-01    4.824218760E-01    8.272207001E+01    2.158885447E+03    2.799433362E+02    7.300091362E-06    5.603664330E+00   mladen
    3412    0       3412         77    5.312500020E-01    8.915646706E-01    8.306896000E-01    8.166023039E+01    2.034744092E+03    3.394046071E+02    3.009226042E-04    2.543430115E+01   mladen
    3413    0       5138          7    8.852539062E-01    9.983548090E-01    4.366543195E-01    8.981351134E+01    2.009748463E+03    5.804183051E+02    3.783896692E-06    3.686439516E+00   mladen
    3414    0       3414        100    7.509521762E-01    6.640625020E-01    9.964275969E-01    8.034939357E+01    2.004862955E+03    3.496789128E+02    2.970054452E-04    2.506078694E+01   mladen
    3433    0       3348         13    8.818359258E-01    9.633789062E-01    4.829102625E-01    8.110834451E+01    9.441439645E+02    2.509768305E+02    1.121953862E-05    3.652807001E+00   mladen
    3461    0       3461         27    8.963253296E-01    7.986498359E-01    9.648437540E-01    8.307490178E+01    5.047724156E+02    1.585113228E+02    2.550962993E-04    6.309655195E+00   mladen
    3463    0       3463         14    8.994523262E-01    9.587145454E-01    6.757812540E-01    8.311828447E+01    4.843274594E+02    1.792700105E+02    1.495945541E-04    6.054093243E+00   mladen
    3501    0       3501         11    5.976562460E-01    9.631699879E-01    6.275180289E-01    9.372096981E+01    3.448538469E+02    1.906588621E+02    1.250056912E-04    4.310673086E+00   mladen
    3507    0       3507          7    8.847656250E-01    8.653369995E-01    9.685559216E-01    8.669872482E+01    3.252159991E+02    1.766065316E+02    7.368598709E-05    4.065199989E+00   mladen
    3518    0       3518          8    5.316643521E-01    9.335937540E-01    8.209279895E-01    8.600466585E+01    2.955482169E+02    1.518446030E+02    7.240514898E-05    3.694352711E+00   mladen
    3535    0       3535         11    7.915849331E-01    7.558593750E-01    7.695312460E-01    8.004560759E+01    2.600132863E+02    1.313259589E+02    8.610400841E-05    3.250166079E+00   mladen
    3614    0       3614        746    5.992331227E-01    7.297363281E-01    5.094862218E-01    8.067467354E+01    1.173294653E+05    4.105894419E+02    9.470874445E-04    1.728105774E+02   mladen
    3615    0       3615        816    9.653320312E-01    6.969350660E-01    6.645601894E-01    8.017023468E+01    3.159442314E+04    4.644783273E+02    1.718636969E-03    1.779751000E+02   mladen
    3627    0       3614         12    6.030320729E-01    7.363281240E-01    5.055170393E-01    8.109492101E+01    3.195714843E+03    3.504669271E+02    8.486341783E-06    4.706859662E+00   mladen
    3628    0       3628        133    7.489859561E-01    6.347656270E-01    7.053579499E-01    8.034076314E+01    3.180455824E+03    3.333563395E+02    4.172613101E-04    3.975569780E+01   mladen
    3632    0       3632         43    5.986351780E-01    5.957031230E-01    5.596798154E-01    8.085315753E+01    2.725137114E+03    2.911385177E+02    1.843778343E-04    3.406421392E+01   mladen
    3635    0       3635         85    6.589162455E-01    6.648482509E-01    7.527977695E-01    8.467577929E+01    2.597563871E+03    2.957158327E+02    2.798133400E-04    3.246954839E+01   mladen
    3638    0       3638         59    9.442835555E-01    6.960494386E-01    6.552457001E-01    8.192299793E+01    2.538295217E+03    3.239254502E+02    1.592865565E-04    1.429851538E+01   mladen
    3640    0       3640        140    5.888793772E-01    7.285156230E-01    7.802811557E-01    8.127506939E+01    2.302265922E+03    2.635689246E+02    4.948628620E-04    2.877832403E+01   mladen
    3645    0       3645        112    8.857488742E-01    7.354497932E-01    7.011718730E-01    8.021745978E+01    2.158210889E+03    2.641354816E+02    3.168419938E-04    2.697763612E+01   mladen
    3650    0       3614         18    6.040044075E-01    7.321096480E-01    5.044525417E-01    9.545301551E+01    2.034258594E+03    3.509055344E+02    1.503308730E-05    3.350737413E+00   mladen
    3665    0       3614          6    6.053137091E-01    7.265624990E-01    5.043951243E-01    1.494021228E+02    1.502850541E+03    3.421285700E+02    6.372641213E-06    6.699417744E+00   mladen
    3690    0       3690         15    8.786464460E-01    6.035156250E-01    5.546874960E-01    8.251606016E+01    4.735336526E+02    2.277365197E+02    2.036123154E-04    5.919170658E+00   mladen
    3711    0       3711         13    7.050957771E-01    7.441406250E-01    8.164062460E-01    8.268641967E+01    3.536752796E+02    1.378791948E+02    1.068371256E-04    4.420940995E+00   mladen
    3716    0       3716         11    5.771595203E-01    6.906948390E-01    5.139570191E-01    9.327448062E+01    3.423538039E+02    1.924369567E+02    1.261715009E-04    4.279422548E+00   mladen
    3734    0       3734         14    8.734201099E-01    5.859374960E-01    6.864349528E-01    9.038299912E+01    2.924555276E+02    1.477868608E+02    1.233229667E-04    3.655694095E+00   mladen
    3815    0       3815       1420    9.978687809E-01    3.264160156E-01    8.979492183E-01    8.038623999E+01    8.269231208E+04    4.889890228E+02    2.115875598E-03    8.901289962E+01   mladen
    3819    0       3819        559    9.843750010E-01    1.567382812E-01    8.927911930E-01    8.020981003E+01    2.884770656E+04    3.397269061E+02    1.058342402E-03    1.085657213E+02   mladen
    3820    0       3820        448    8.131575708E-01    2.993164062E-01    8.925781240E-01    8.023394271E+01    2.583191676E+04    3.268062397E+02    8.884327612E-04    3.228989595E+02   mladen
    3821    0       3821        309    6.572265615E-01    3.168945312E-01    9.859276495E-01    8.102587531E+01    2.330271974E+04    4.451100278E+02    6.155934104E-04    4.713721960E+00   mladen
    3822    0       3822        438    7.705078115E-01    3.110351562E-01    9.100398731E-01    8.049932669E+01    1.796965277E+04    3.237788324E+02    8.771872367E-04    2.246206597E+02   mladen
    3823    0       3821        469    6.599827821E-01    3.121074685E-01    9.823368360E-01    8.133261432E+01    1.623833381E+04    4.374003949E+02    1.103540575E-03    3.284723481E+00   mladen
    3826    0       3826        494    6.121527823E-01    2.652238294E-01    9.606538118E-01    8.017372369E+01    1.258877892E+04    3.526256262E+02    9.898223330E-04    1.573597365E+02   mladen
    3840    0       3840        166    6.958431377E-01    4.011804303E-01    6.816406270E-01    8.074484637E+01    3.911697116E+03    3.778574496E+02    4.673327255E-04    4.889621395E+01   mladen
    3843    0       3843        112    9.140624980E-01    9.866458219E-02    9.092762306E-01    8.046803685E+01    3.720300767E+03    2.292380630E+02    3.825822927E-04    4.650375959E+01   mladen
    3858    0       3858         57    6.042235396E-01    2.968750020E-01    9.845819069E-01    8.228573830E+01    2.890414275E+03    3.040472126E+02    1.608383066E-04    3.613017844E+01   mladen
    3866    0       3819        181    9.707031230E-01    1.396706644E-01    9.079637652E-01    8.085664762E+01    2.426025007E+03    3.010396063E+02    4.844706876E-04    9.130124585E+00   mladen
    3869    0       3869         60    9.921875020E-01    1.376953125E-01    9.399003407E-01    8.096667327E+01    2.348063684E+03    2.896854854E+02    1.748243296E-04    2.737553753E+01   mladen
    4057    0       4057         10    9.082081323E-01    4.111432765E-02    8.320312460E-01    8.363311513E+01    2.955139797E+02    1.319276292E+02    7.863499473E-05    3.693924746E+00   mladen
    4099    0       4099         16    9.921875040E-01    2.400223971E-01    9.353910309E-01    8.940150112E+01    2.595415750E+02    1.345770444E+02    1.283426708E-04    3.244269688E+00   mladen
    4263    0       4263       3158    5.471191406E-01    2.907959025E-02    8.500976558E-01    8.006427952E+01    1.678656996E+05    3.113363719E+02    6.856809934E-03    3.695323399E+02   mladen
    4264    0       4264       3335    9.773790285E-01    9.852711173E-02    9.443359370E-01    8.007830281E+01    1.675028171E+05    4.040617559E+02    5.814441198E-03    2.133664342E+02   mladen
    4265    1       4263       1807    5.760181205E-01    5.639648438E-02    8.637433688E-01    8.000230717E+01    1.615070253E+05    4.778741848E+02    3.007570535E-03    2.498855245E+01   mladen
    4267    0       4267       1779    8.234892695E-01    8.959960938E-02    8.845422211E-01    8.010935135E+01    1.005770663E+05    3.594229850E+02    3.201692361E-03    8.587137269E+01   mladen
    4268    0       4268        836    5.060539413E-01    1.120605469E-01    5.631289695E-01    8.116073688E+01    8.641022316E+04    4.281331382E+02    1.162995893E-03    1.880235054E+01   mladen
    4278    0       4265       1289    5.644531260E-01    5.210076030E-02    8.635910745E-01    8.007026951E+01    3.302935068E+04    3.563799245E+02    2.321341254E-03    7.956653534E+00   mladen
    4290    0       4265       1532    5.746070599E-01    5.029296875E-02    8.593750010E-01    8.025173122E+01    2.280963146E+04    4.305007414E+02    3.067153200E-03    3.529132376E+00   mladen
    4292    0       4292        426    6.145926392E-01    7.470703125E-02    8.149414062E-01    8.033306578E+01    2.158752786E+04    3.575186734E+02    7.781396989E-04    9.770035705E+01   mladen
    4293    0       4268        240    5.054249447E-01    1.110605466E-01    5.585937490E-01    8.018730014E+01    2.139576613E+04    4.546882751E+02    3.684114658E-04    4.655591435E+00   mladen
    4372    0       4372         94    6.291060979E-01    1.083984375E-01    8.424829231E-01    8.096052278E+01    4.415138129E+03    3.489500065E+02    2.989862170E-04    1.853606757E+01   mladen
    4393    0       4264        227    9.840426280E-01    1.123046875E-01    9.394531230E-01    8.029020098E+01    4.003526484E+03    2.819091675E+02    4.914905518E-04    5.099724203E+00   mladen
    4399    0       4267         40    8.266185254E-01    9.422372510E-02    8.812446657E-01    9.069080478E+01    3.919970336E+03    3.583098412E+02    3.437131051E-05    3.346818973E+00   mladen
    4411    0       4411        108    7.083250342E-01    1.347656230E-01    8.667871163E-01    8.264308021E+01    3.808571424E+03    2.467668388E+02    3.787425815E-04    4.760714280E+01   mladen
    4431    0       4372        179    6.316698276E-01    9.277343750E-02    8.485579647E-01    8.038229045E+01    3.401665944E+03    2.623532216E+02    5.551302055E-04    1.428120887E+01   mladen
    4517    0       4267         16    8.198268884E-01    8.670755787E-02    8.886718740E-01    1.760324723E+02    2.406879189E+03    5.161422186E+02    1.442084700E-05    1.088267918E+01   mladen
    4522    0       4522        169    6.088642120E-01    7.519531250E-02    8.651703683E-01    8.128917876E+01    2.344094717E+03    2.293362766E+02    5.519063573E-04    2.930118396E+01   mladen
    4594    0       4264         91    9.543336258E-01    1.084609979E-01    9.526078755E-01    8.078117585E+01    1.606293651E+03    2.291456832E+02    3.346246027E-04    5.304755975E+00   mladen
    4652    0       4292          5    6.157975716E-01    6.542968750E-02    8.164062520E-01    1.228938729E+02    7.179651650E+02    2.574117807E+02    9.589336094E-06    3.249350894E+00   mladen
    4720    0       4720         16    6.507708529E-01    9.963611522E-02    8.554687460E-01    8.407593797E+01    5.038581809E+02    1.629163889E+02    1.553691758E-04    6.298227261E+00   mladen
    4788    0       4788         85    8.691430372E-01    8.421039852E-02    8.769829249E-01    8.006973592E+01    4.175934994E+02    1.257410366E+02    6.370537346E-04    3.787802749E+00   mladen
    4903    0       4903         26    6.163998105E-01    2.405873967E-01    9.433593750E-01    8.064817386E+01    3.183926072E+02    1.441837791E+02    2.234445963E-04    3.979907589E+00   mladen
    4923    0       4923          9    5.136765297E-01    3.906246042E-03    8.185452111E-01    1.003103201E+02    2.978161610E+02    1.955762070E+02    1.049152531E-04    3.722702012E+00   mladen
    4975    0       4975          7    6.504200230E-01    8.593749604E-02    8.577524381E-01    9.300993917E+01    2.646524149E+02    1.779363784E+02    7.424084239E-05    3.308155186E+00   mladen
    5138    0       5138       1411    8.801461021E-01    2.441405755E-03    4.422112080E-01    8.019664956E+01    8.401487952E+04    4.520671180E+02    2.345398905E-03    7.074741891E+01   mladen
    5143    0       5143        936    9.604534992E-01    4.912109365E-01    3.492059186E-01    8.012667829E+01    2.716825570E+04    3.579170615E+02    1.712014925E-03    3.396031963E+02   mladen
    5145    0       5145        587    7.470703135E-01    1.495030206E-01    2.688264249E-01    8.007524204E+01    1.832988964E+04    3.476866893E+02    1.167005699E-03    1.751678271E+02   mladen
    5146    0       5138        460    9.086914062E-01    4.798500903E-03    4.184685244E-01    8.007866468E+01    1.792360744E+04    2.970492902E+02    7.992381224E-04    7.982332366E+01   mladen
    5147    0       5147        332    7.642770789E-01    2.319335938E-01    2.722346820E-01    8.017582458E+01    1.325497353E+04    3.848198324E+02    6.257513793E-04    1.656871691E+02   mladen
    5148    0       5148        327    5.395507812E-01    1.131189525E-01    4.858398438E-01    8.056655584E+01    1.207947686E+04    3.355384172E+02    5.615526211E-04    1.509934608E+02   mladen
    5168    0       5168         45    5.946658927E-01    3.359375020E-01    3.673955850E-01    8.073146052E+01    3.509439922E+03    4.463928713E+02    1.496648729E-04    4.386799902E+01   mladen
    5184    0       5184         79    7.272098758E-01    1.357421875E-01    1.548502979E-01    8.008820636E+01    2.564807636E+03    2.898694314E+02    2.462052940E-04    3.206009545E+01   mladen
    5200    0       4268         47    5.112304688E-01    1.162109365E-01    5.582829631E-01    8.106177030E+01    1.679026904E+03    2.337242574E+02    7.270267416E-05    3.946471811E+00   mladen
    5249    0       5249         47    8.071915587E-01    5.664062500E-02    3.554687460E-01    8.004306142E+01    4.685360447E+02    1.630981525E+02    4.569061497E-04    5.856700559E+00   mladen
    5255    0       5255         12    7.207985008E-01    1.311215799E-01    1.828328996E-01    8.441196628E+01    4.456372481E+02    1.932693525E+02    1.382370132E-04    5.570465601E+00   mladen
    5277    0       5277         13    9.296874960E-01    2.089843750E-01    5.177111799E-01    8.511049268E+01    3.897958571E+02    1.831910933E+02    1.419475206E-04    4.872448214E+00   mladen
    5332    0       5332         23    9.316612566E-01    3.515624604E-02    3.655652887E-01    8.037462736E+01    2.943381388E+02    1.225775028E+02    1.680423358E-04    3.679226735E+00   mladen
    5469    0       5469        548    8.441215788E-01    4.251806573E-01    2.879655905E-02    8.037387778E+01    2.310149813E+04    3.567963904E+02    1.191601023E-03    2.887687267E+02   mladen
    5470    0       5470        399    7.229889490E-01    3.530273438E-01    7.812500099E-02    8.015942047E+01    1.974211535E+04    3.550086999E+02    7.915225137E-04    2.467764419E+02   mladen
    5471    0       5471        552    6.292732330E-01    3.608398438E-01    2.413823441E-03    8.016933719E+01    1.932424004E+04    3.621169553E+02    1.017139048E-03    2.415530005E+02   mladen
    5472    0       5472        484    9.153351434E-01    1.010193813E-01    1.362304688E-01    8.032439886E+01    1.874725018E+04    3.866269739E+02    1.011088996E-03    2.816836842E+01   mladen
    5473    0       5472        367    9.116530019E-01    1.138376766E-01    1.343505952E-01    8.021092995E+01    1.642788550E+04    3.913940638E+02    7.563668139E-04    2.468344566E+01   mladen
    5480    0       5480        129    8.697907355E-01    4.070884595E-01    1.367187698E-02    8.360223522E+01    3.247385554E+03    3.088833971E+02    3.452040968E-04    8.578772675E+00   mladen
    5483    0       5480        103    8.818007086E-01    4.012783227E-01    1.171875198E-02    8.088344032E+01    2.801131766E+03    2.871451394E+02    3.251884966E-04    7.399882844E+00   mladen
    5484    0       5484        157    8.839176368E-01    1.689983914E-01    1.007305905E-01    8.299447984E+01    2.791004672E+03    3.121093399E+02    4.627537626E-04    3.488755840E+01   mladen
    5487    0       5487         90    9.835736104E-01    4.599609375E-01    4.101562302E-02    8.103066181E+01    2.493579641E+03    3.909584400E+02    2.621580631E-04    3.116974552E+01   mladen
    5488    0       5488         85    9.131036996E-01    4.541015625E-01    2.023474856E-01    8.096311961E+01    2.397941526E+03    2.579559295E+02    2.171771230E-04    2.997426908E+01   mladen
    5533    0       5533         10    5.468749960E-01    2.949218750E-01    6.079944544E-02    8.567818096E+01    4.552020017E+02    2.187815505E+02    1.304039660E-04    5.690025021E+00   mladen
    5554    0       5554          7    8.469160451E-01    4.941406250E-01    2.343749960E-01    8.142958023E+01    3.621552996E+02    1.568572850E+02    6.544595926E-05    4.526941245E+00   mladen
    5568    0       5568         19    6.992187460E-01    3.185242324E-01    4.998773895E-02    8.035623299E+01    3.133309322E+02    1.528599449E+02    1.731120916E-04    3.916636652E+00   mladen
    5594    0       5594          6    7.460937460E-01    4.475697739E-01    8.409942996E-02    8.730192922E+01    2.643866064E+02    1.592813906E+02    5.696346423E-05    3.304832580E+00   mladen
